INSTNM,CITY,STABBR,REGION,LOCALE,RELAFFIL,ADM_RATE,UGDS,ACTCM25,ACTCM75,SATVR25,SATVR75,SATMT25,SATMT75,MENONLY,WOMENONLY,HBCU,ANNHI,TRIBAL,AANAPII,HSI,NANTI,CCSIZSET,NPT4_PUB,NPT4_PRIV,C150_4,C150_L4,,
Alabama A & M University,Normal,AL,5,12,NULL,0.8965,5090,15,20,430,520,410,500,0,0,1,0,0,0,0,0,14,15529,NULL,0.2866,NULL,,
University of Alabama at Birmingham,Birmingham,AL,5,12,NULL,0.806,13549,22,30,560,668,530,660,0,0,0,0,0,0,0,0,15,16530,NULL,0.6117,NULL,,
Amridge University,Montgomery,AL,5,12,74,NULL,298,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,6,NULL,17618,0.25,NULL,,
University of Alabama in Huntsville,Huntsville,AL,5,12,NULL,0.7711,7825,24,31,590,700,580,730,0,0,0,0,0,0,0,0,12,17208,NULL,0.5714,NULL,,
Alabama State University,Montgomery,AL,5,12,NULL,0.9888,3603,14,20,438,531,406,518,0,0,1,0,0,0,0,0,14,19534,NULL,0.3177,NULL,,
The University of Alabama,Tuscaloosa,AL,5,12,NULL,0.8039,30610,23,31,540,660,530,670,0,0,0,0,0,0,0,0,16,20917,NULL,0.7214,NULL,,
Central Alabama Community College,Alexander City,AL,5,32,NULL,NULL,994,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,3269,NULL,NULL,0.192,,
Athens State University,Athens,AL,5,31,NULL,NULL,2629,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,9,NULL,NULL,NULL,NULL,,
Auburn University at Montgomery,Montgomery,AL,5,12,NULL,0.9555,4301,18,23,480,575,430,515,0,0,0,0,0,0,0,0,13,13678,NULL,0.304,NULL,,
Auburn University,Auburn,AL,5,13,NULL,0.8507,24368,25,31,590,650,570,670,0,0,0,0,0,0,0,0,15,24018,NULL,0.787,NULL,,
Birmingham-Southern College,Birmingham,AL,5,12,71,0.6045,1129,22,28,520,610,500,580,0,0,0,0,0,0,0,0,11,NULL,19808,0.7094,NULL,,
Chattahoochee Valley Community College,Phenix City,AL,5,41,NULL,NULL,1183,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,2652,NULL,NULL,0.2246,,
South University-Montgomery,Montgomery,AL,5,12,NULL,NULL,289,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,6,NULL,20518,0.1429,NULL,,
Enterprise State Community College,Enterprise,AL,5,32,NULL,NULL,1304,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,4142,NULL,NULL,0.2582,,
Coastal Alabama Community College,Bay Minette,AL,5,32,NULL,NULL,4680,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,4,8924,NULL,NULL,0.1887,,
Faulkner University,Montgomery,AL,5,12,74,0.7576,1834,18,23,515,590,505,585,0,0,0,0,0,0,0,0,10,NULL,20500,0.2711,NULL,,
Gadsden State Community College,Gadsden,AL,5,13,NULL,NULL,3496,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,3,4538,NULL,NULL,0.2736,,
New Beginning College of Cosmetology,Albertville,AL,5,32,NULL,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,12560,NULL,0.8261,,
George C Wallace Community College-Dothan,Dothan,AL,5,13,NULL,NULL,2991,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,1384,NULL,NULL,0.2884,,
George C Wallace State Community College-Hanceville,Hanceville,AL,5,32,NULL,NULL,4211,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,6685,NULL,NULL,0.4516,,
George C Wallace State Community College-Selma,Selma,AL,5,32,NULL,NULL,916,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,3928,NULL,NULL,0.3383,,
Herzing University-Birmingham,Birmingham,AL,5,21,NULL,0.9153,612,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,6,NULL,25741,0.2222,NULL,,
Huntingdon College,Montgomery,AL,5,12,71,0.5439,917,19,24,503,590,500,568,0,0,0,0,0,0,0,0,7,NULL,21632,0.4185,NULL,,
Heritage Christian University,Florence,AL,5,13,74,0.6667,70,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,6,NULL,NULL,0.1429,NULL,,
J. F. Drake State Community and Technical College,Huntsville,AL,5,12,NULL,NULL,597,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,1,5740,NULL,NULL,0.0667,,
J F Ingram State Technical College,Deatsville,AL,5,21,NULL,NULL,399,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,2902,NULL,NULL,0.2079,,
Jacksonville State University,Jacksonville,AL,5,23,NULL,0.6369,6776,18,24,420,530,420,540,0,0,0,0,0,0,0,0,13,17523,NULL,0.4551,NULL,,
Jefferson State Community College,Birmingham,AL,5,12,NULL,NULL,6208,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,9564,NULL,NULL,0.1577,,
John C Calhoun State Community College,Tanner,AL,5,41,NULL,NULL,6492,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,4,6267,NULL,NULL,0.2854,,
Judson College,Marion,AL,5,43,54,0.5648,219,18,23,440,580,530,770,0,0,0,0,0,0,0,0,7,NULL,16976,0.4756,NULL,,
Lawson State Community College,Birmingham,AL,5,12,NULL,NULL,2612,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,3,7855,NULL,NULL,0.2126,,
University of West Alabama,Livingston,AL,5,43,NULL,0.9313,2247,17,22,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,13,16747,NULL,0.4011,NULL,,
Lurleen B Wallace Community College,Andalusia,AL,5,41,NULL,NULL,1081,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,6997,NULL,NULL,0.3325,,
Marion Military Institute,Marion,AL,5,43,NULL,0.575,400,18,26,560,650,540,650,0,0,0,0,0,0,0,0,1,11190,NULL,NULL,0.4073,,
